Team,Wins,Year
Los Angeles Dodgers,71,2005
Miami Marlins,83,2005
Milwauke Brewers,81,2005
Minnesota Twins,83,2005
New York Mets,83,2005
New York Yankees,95,2005
Oakland As,88,2005
Philadelphia Phillies,88,2005
Pittsburg Pirates,67,2005
San Diego Padres,82,2005
San Francisco Giants,75,2005
Seattle Mariners,69,2005
St Louis Cardinals,100,2005
Tampa Bay Rays,67,2005
Texas Rangers,79,2005
Toronto Blue Jays,80,2005
Washington Nationals,81,2005
Arizona Diamonbacks,76,2006
Atlanta Braves,79,2006
BLA,,2006
Baltimore Orioles,70,2006
Boston Red Sox,86,2006
Chicago Cubs,66,2006
Chicago White Sox,90,2006
Cincinatti Reds,80,2006
Clevland Indians,78,2006
Colorado Rockies,76,2006
Detroit Tigers,95,2006
Houston Astros,82,2006
Kansas City Royals,62,2006
Los Angeles Angels,89,2006
Los Angeles Dodgers,88,2006
Miami Marlins,78,2006
Milwauke Brewers,75,2006
Minnesota Twins,96,2006
New York Mets,97,2006
New York Yankees,97,2006
Oakland As,93,2006
Philadelphia Phillies,85,2006
Pittsburg Pirates,67,2006
San Diego Padres,88,2006
San Francisco Giants,76,2006
Seattle Mariners,78,2006
St Louis Cardinals,83,2006
Tampa Bay Rays,61,2006
Texas Rangers,80,2006
Toronto Blue Jays,87,2006
Washington Nationals,71,2006
Arizona Diamonbacks,90,2007
Atlanta Braves,84,2007
BLA,,2007
Baltimore Orioles,69,2007
Boston Red Sox,96,2007
Chicago Cubs,85,2007
Chicago White Sox,72,2007
Cincinatti Reds,72,2007
Clevland Indians,96,2007
Colorado Rockies,90,2007
Detroit Tigers,88,2007
Houston Astros,73,2007
Kansas City Royals,69,2007
Los Angeles Angels,94,2007
Los Angeles Dodgers,82,2007
Miami Marlins,71,2007
Milwauke Brewers,83,2007
Minnesota Twins,79,2007
New York Mets,88,2007
New York Yankees,94,2007
Oakland As,76,2007
Philadelphia Phillies,89,2007
Pittsburg Pirates,68,2007
San Diego Padres,89,2007
San Francisco Giants,71,2007
Seattle Mariners,88,2007
St Louis Cardinals,78,2007
Tampa Bay Rays,66,2007
Texas Rangers,75,2007
Toronto Blue Jays,83,2007
Washington Nationals,73,2007
Arizona Diamonbacks,82,2008
Atlanta Braves,72,2008
BLA,,2008
Baltimore Orioles,68,2008
Boston Red Sox,95,2008
Chicago Cubs,97,2008
Chicago White Sox,89,2008
Cincinatti Reds,74,2008
Clevland Indians,81,2008
Colorado Rockies,74,2008
Detroit Tigers,74,2008
Houston Astros,86,2008
Kansas City Royals,75,2008
Los Angeles Angels,100,2008
Los Angeles Dodgers,84,2008
Miami Marlins,84,2008
Milwauke Brewers,90,2008
Minnesota Twins,88,2008
New York Mets,89,2008
New York Yankees,89,2008
Oakland As,75,2008
Philadelphia Phillies,92,2008
Pittsburg Pirates,67,2008
San Diego Padres,63,2008
San Francisco Giants,72,2008
Seattle Mariners,61,2008
St Louis Cardinals,86,2008
Tampa Bay Rays,97,2008
Texas Rangers,79,2008
Toronto Blue Jays,86,2008
Washington Nationals,59,2008
Arizona Diamonbacks,70,2009
Atlanta Braves,86,2009
BLA,,2009
Baltimore Orioles,64,2009
Boston Red Sox,95,2009
Chicago Cubs,83,2009
Chicago White Sox,79,2009
Cincinatti Reds,78,2009
Clevland Indians,65,2009
Colorado Rockies,92,2009
Detroit Tigers,86,2009
Houston Astros,74,2009
Kansas City Royals,65,2009
Los Angeles Angels,97,2009
Los Angeles Dodgers,95,2009
Miami Marlins,87,2009
Milwauke Brewers,80,2009
Minnesota Twins,87,2009
New York Mets,70,2009
New York Yankees,103,2009
Oakland As,75,2009
Philadelphia Phillies,93,2009
Pittsburg Pirates,62,2009
San Diego Padres,75,2009
San Francisco Giants,88,2009
Seattle Mariners,85,2009
St Louis Cardinals,91,2009
Tampa Bay Rays,84,2009
Texas Rangers,87,2009
Toronto Blue Jays,75,2009
Washington Nationals,59,2009
Arizona Diamonbacks,65,2010
Atlanta Braves,91,2010
BLA,,2010
Baltimore Orioles,66,2010
Boston Red Sox,89,2010
Chicago Cubs,75,2010
Chicago White Sox,88,2010
Cincinatti Reds,91,2010
Clevland Indians,69,2010
Colorado Rockies,83,2010
Detroit Tigers,81,2010
Houston Astros,76,2010
Kansas City Royals,67,2010
Los Angeles Angels,80,2010
Los Angeles Dodgers,80,2010
Miami Marlins,80,2010
Milwauke Brewers,77,2010
Minnesota Twins,94,2010
New York Mets,79,2010
New York Yankees,95,2010
Oakland As,81,2010
Philadelphia Phillies,97,2010
Pittsburg Pirates,57,2010
San Diego Padres,90,2010
San Francisco Giants,92,2010
Seattle Mariners,61,2010
St Louis Cardinals,86,2010
Tampa Bay Rays,96,2010
Texas Rangers,90,2010
Toronto Blue Jays,85,2010
Washington Nationals,69,2010
Arizona Diamonbacks,94,2011
Atlanta Braves,89,2011
BLA,,2011
Baltimore Orioles,69,2011
Boston Red Sox,90,2011
Chicago Cubs,71,2011
Chicago White Sox,79,2011
Cincinatti Reds,79,2011
Clevland Indians,80,2011
Colorado Rockies,73,2011
Detroit Tigers,95,2011
Houston Astros,56,2011
Kansas City Royals,71,2011
Los Angeles Angels,86,2011
Los Angeles Dodgers,82,2011
Miami Marlins,72,2011
Milwauke Brewers,96,2011
Minnesota Twins,63,2011
New York Mets,77,2011
New York Yankees,97,2011
Oakland As,74,2011
Philadelphia Phillies,102,2011
Pittsburg Pirates,72,2011
San Diego Padres,71,2011
San Francisco Giants,86,2011
Seattle Mariners,67,2011
St Louis Cardinals,90,2011
Tampa Bay Rays,91,2011
Texas Rangers,96,2011
Toronto Blue Jays,81,2011
Washington Nationals,80,2011
Arizona Diamonbacks,81,2012
Atlanta Braves,94,2012
BLA,,2012
Baltimore Orioles,93,2012
Boston Red Sox,69,2012
Chicago Cubs,61,2012
Chicago White Sox,85,2012
Cincinatti Reds,97,2012
Clevland Indians,68,2012
Colorado Rockies,64,2012
Detroit Tigers,88,2012
Houston Astros,55,2012
Kansas City Royals,72,2012
Los Angeles Angels,89,2012
Los Angeles Dodgers,86,2012
Miami Marlins,69,2012
Milwauke Brewers,83,2012
Minnesota Twins,66,2012
New York Mets,74,2012
New York Yankees,95,2012
Oakland As,94,2012
Philadelphia Phillies,81,2012
Pittsburg Pirates,79,2012
San Diego Padres,76,2012
San Francisco Giants,94,2012
Seattle Mariners,75,2012
St Louis Cardinals,88,2012
Tampa Bay Rays,90,2012
Texas Rangers,93,2012
Toronto Blue Jays,73,2012
Washington Nationals,98,2012
Arizona Diamonbacks,81,2013
Atlanta Braves,96,2013
BLA,,2013
Baltimore Orioles,85,2013
Boston Red Sox,97,2013
Chicago Cubs,66,2013
Chicago White Sox,63,2013
Cincinatti Reds,90,2013
Clevland Indians,92,2013
Colorado Rockies,74,2013
Detroit Tigers,93,2013
Houston Astros,51,2013
Kansas City Royals,86,2013
Los Angeles Angels,78,2013
Los Angeles Dodgers,92,2013
Miami Marlins,62,2013
Milwauke Brewers,74,2013
Minnesota Twins,66,2013
New York Mets,74,2013
New York Yankees,85,2013
Oakland As,96,2013
Philadelphia Phillies,73,2013
Pittsburg Pirates,94,2013
San Diego Padres,76,2013
San Francisco Giants,76,2013
Seattle Mariners,71,2013
St Louis Cardinals,97,2013
Tampa Bay Rays,92,2013
Texas Rangers,91,2013
Toronto Blue Jays,74,2013
Washington Nationals,86,2013
Arizona Diamonbacks,64,2014
Atlanta Braves,79,2014
BLA,,2014
Baltimore Orioles,96,2014
Boston Red Sox,71,2014
Chicago Cubs,73,2014
Chicago White Sox,73,2014
Cincinatti Reds,76,2014
Clevland Indians,85,2014
Colorado Rockies,66,2014
Detroit Tigers,90,2014
Houston Astros,70,2014
Kansas City Royals,89,2014
Los Angeles Angels,98,2014
Los Angeles Dodgers,94,2014
Miami Marlins,77,2014
Milwauke Brewers,82,2014
Minnesota Twins,70,2014
New York Mets,79,2014
New York Yankees,84,2014
Oakland As,88,2014
Philadelphia Phillies,73,2014
Pittsburg Pirates,88,2014
San Diego Padres,77,2014
San Francisco Giants,88,2014
Seattle Mariners,87,2014
St Louis Cardinals,90,2014
Tampa Bay Rays,77,2014
Texas Rangers,67,2014
Toronto Blue Jays,83,2014
Washington Nationals,96,2014
Arizona Diamonbacks,79,2015
Atlanta Braves,67,2015
BLA,,2015
Baltimore Orioles,81,2015
Boston Red Sox,78,2015
Chicago Cubs,97,2015
Chicago White Sox,76,2015
Cincinatti Reds,64,2015
Clevland Indians,81,2015
Colorado Rockies,68,2015
Detroit Tigers,74,2015
Houston Astros,86,2015
Kansas City Royals,95,2015
Los Angeles Angels,85,2015
Los Angeles Dodgers,92,2015
Miami Marlins,71,2015
Milwauke Brewers,68,2015
Minnesota Twins,83,2015
New York Mets,90,2015
New York Yankees,87,2015
Oakland As,68,2015
Philadelphia Phillies,63,2015
Pittsburg Pirates,98,2015
San Diego Padres,74,2015
San Francisco Giants,84,2015
Seattle Mariners,76,2015
St Louis Cardinals,100,2015
Tampa Bay Rays,80,2015
Texas Rangers,88,2015
Toronto Blue Jays,93,2015
Washington Nationals,83,2015
Arizona Diamonbacks,69,2016
Atlanta Braves,68,2016
BLA,,2016
Baltimore Orioles,89,2016
Boston Red Sox,93,2016
Chicago Cubs,103,2016
Chicago White Sox,78,2016
Cincinatti Reds,68,2016
Clevland Indians,94,2016
Colorado Rockies,75,2016
Detroit Tigers,86,2016
Houston Astros,84,2016
Kansas City Royals,81,2016
Los Angeles Angels,74,2016
Los Angeles Dodgers,91,2016
Miami Marlins,79,2016
Milwauke Brewers,73,2016
Minnesota Twins,59,2016
New York Mets,87,2016
New York Yankees,84,2016
Oakland As,69,2016
Philadelphia Phillies,71,2016
Pittsburg Pirates,78,2016
San Diego Padres,68,2016
San Francisco Giants,87,2016
Seattle Mariners,86,2016
St Louis Cardinals,86,2016
Tampa Bay Rays,68,2016
Texas Rangers,95,2016
Toronto Blue Jays,89,2016
Washington Nationals,95,2016
Arizona Diamonbacks,93,2017
Atlanta Braves,72,2017
BLA,,2017
Baltimore Orioles,75,2017
Boston Red Sox,93,2017
Chicago Cubs,92,2017
Chicago White Sox,67,2017
Cincinatti Reds,68,2017
Clevland Indians,102,2017
Colorado Rockies,87,2017
Detroit Tigers,64,2017
Houston Astros,101,2017
Kansas City Royals,80,2017
Los Angeles Angels,80,2017
Los Angeles Dodgers,104,2017
Miami Marlins,77,2017
Milwauke Brewers,86,2017
Minnesota Twins,85,2017
New York Mets,70,2017
New York Yankees,91,2017
Oakland As,75,2017
Philadelphia Phillies,66,2017
Pittsburg Pirates,75,2017
San Diego Padres,71,2017
San Francisco Giants,64,2017
Seattle Mariners,78,2017
St Louis Cardinals,83,2017
Tampa Bay Rays,80,2017
Texas Rangers,78,2017
Toronto Blue Jays,76,2017
Washington Nationals,97,2017
Arizona Diamonbacks,82,2018
Atlanta Braves,90,2018
BLA,,2018
Baltimore Orioles,47,2018
Boston Red Sox,108,2018
Chicago Cubs,95,2018
Chicago White Sox,62,2018
Cincinatti Reds,67,2018
Clevland Indians,91,2018
Colorado Rockies,91,2018
Detroit Tigers,64,2018
Houston Astros,103,2018
Kansas City Royals,58,2018
Los Angeles Angels,80,2018
Los Angeles Dodgers,92,2018
Miami Marlins,63,2018
Milwauke Brewers,96,2018
Minnesota Twins,78,2018
New York Mets,77,2018
New York Yankees,100,2018
Oakland As,97,2018
Philadelphia Phillies,80,2018
Pittsburg Pirates,82,2018
San Diego Padres,66,2018
San Francisco Giants,73,2018
Seattle Mariners,89,2018
St Louis Cardinals,88,2018
Tampa Bay Rays,90,2018
Texas Rangers,67,2018
Toronto Blue Jays,73,2018
Washington Nationals,82,2018
Arizona Diamonbacks,85,2019
Atlanta Braves,97,2019
BLA,,2019
Baltimore Orioles,54,2019
Boston Red Sox,84,2019
Chicago Cubs,84,2019
Chicago White Sox,72,2019
Cincinatti Reds,75,2019
Clevland Indians,93,2019
Colorado Rockies,71,2019
Detroit Tigers,47,2019
Houston Astros,107,2019
Kansas City Royals,59,2019
Los Angeles Angels,72,2019
Los Angeles Dodgers,106,2019
Miami Marlins,57,2019
Milwauke Brewers,89,2019
Minnesota Twins,101,2019
New York Mets,86,2019
New York Yankees,103,2019
Oakland As,97,2019
Philadelphia Phillies,81,2019
Pittsburg Pirates,69,2019
San Diego Padres,70,2019
San Francisco Giants,77,2019
Seattle Mariners,68,2019
St Louis Cardinals,91,2019
Tampa Bay Rays,96,2019
Texas Rangers,78,2019
Toronto Blue Jays,67,2019
Washington Nationals,93,2019
